,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1438,2022-08-25 09:30:00,21486.96000000,21493.78000000,21380.01000000,21390.70000000,1945.76985000,2022-08-25 09:44:59.999,41711216.31587500,54786,852.87983000,18285879.56024030,0
1439,2022-08-25 09:45:00,21389.64000000,21412.75000000,21361.60000000,21368.08000000,1352.79264000,2022-08-25 09:59:59.999,28922656.25695520,47389,681.88813000,14579240.05873220,0
1440,2022-08-25 10:00:00,21368.05000000,21404.99000000,21317.89000000,21319.34000000,2272.34001000,2022-08-25 10:14:59.999,48546371.58375710,77423,1074.99249000,22967611.10383530,0
1441,2022-08-25 10:15:00,21319.32000000,21374.99000000,21310.15000000,21355.27000000,1596.61035000,2022-08-25 10:29:59.999,34092541.26766120,55071,798.96587000,17060670.64547080,0
1442,2022-08-25 10:30:00,21355.27000000,21469.54000000,21352.00000000,21456.30000000,2271.07084000,2022-08-25 10:44:59.999,48656635.48780510,75051,1280.82367000,27440545.00275740,0
1443,2022-08-25 10:45:00,21456.30000000,21488.68000000,21452.22000000,21481.32000000,1548.94009000,2022-08-25 10:59:59.999,33258892.59186060,53430,747.77674000,16057601.63561070,0
1444,2022-08-25 11:00:00,21481.21000000,21521.60000000,21462.31000000,21492.24000000,1799.03161000,2022-08-25 11:14:59.999,38669182.55406960,56434,920.21292000,19779941.99773520,0
1445,2022-08-25 11:15:00,21492.24000000,21559.98000000,21483.19000000,21539.35000000,1570.25895000,2022-08-25 11:29:59.999,33808064.73420950,56260,798.08014000,17182593.37382420,0
1446,2022-08-25 11:30:00,21539.35000000,21637.89000000,21538.00000000,21627.61000000,2284.83875000,2022-08-25 11:44:59.999,49364290.13729660,71677,1191.26290000,25737019.89063880,0
1447,2022-08-25 11:45:00,21626.21000000,21627.61000000,21538.40000000,21553.87000000,1496.36571000,2022-08-25 11:59:59.999,32292565.06268580,54085,718.70233000,15510207.92226550,0
1448,2022-08-25 12:00:00,21552.83000000,21581.22000000,21531.32000000,21532.29000000,1320.76254000,2022-08-25 12:14:59.999,28467592.76414430,53085,671.77891000,14479791.03491920,0
1449,2022-08-25 12:15:00,21532.29000000,21555.82000000,21520.18000000,21528.56000000,1302.32923000,2022-08-25 12:29:59.999,28047149.28820010,50410,636.44426000,13706905.45788710,0
1450,2022-08-25 12:30:00,21527.64000000,21560.00000000,21511.99000000,21548.81000000,1419.89504000,2022-08-25 12:44:59.999,30571830.49749010,50476,703.00344000,15136832.04055250,0
1451,2022-08-25 12:45:00,21548.75000000,21549.65000000,21512.75000000,21526.96000000,1089.69342000,2022-08-25 12:59:59.999,23459918.82146050,45097,563.15232000,12124219.38547040,0
1452,2022-08-25 13:00:00,21527.96000000,21577.21000000,21484.02000000,21577.01000000,1511.91148000,2022-08-25 13:14:59.999,32555056.20900840,59103,762.67671000,16423393.85707250,0
1453,2022-08-25 13:15:00,21577.01000000,21600.03000000,21510.11000000,21527.63000000,1219.33486000,2022-08-25 13:29:59.999,26278392.96759260,47936,608.83753000,13122279.33772720,0
1454,2022-08-25 13:30:00,21527.63000000,21533.00000000,21427.00000000,21477.48000000,1836.41701000,2022-08-25 13:44:59.999,39442551.48372180,68174,874.67516000,18785775.46025180,0
1455,2022-08-25 13:45:00,21477.48000000,21486.00000000,21448.11000000,21468.93000000,1121.45474000,2022-08-25 13:59:59.999,24078242.66904720,44524,607.25648000,13038690.22319260,0
1456,2022-08-25 14:00:00,21468.12000000,21539.01000000,21461.53000000,21528.51000000,1154.30213000,2022-08-25 14:14:59.999,24819681.63471960,47041,565.98871000,12169383.20423920,0
1457,2022-08-25 14:15:00,21528.51000000,21534.67000000,21500.73000000,21525.98000000,843.23849000,2022-08-25 14:29:59.999,18146026.64269710,39963,441.05548000,9491296.27884520,0
1458,2022-08-25 14:30:00,21525.98000000,21563.80000000,21517.20000000,21532.19000000,981.60999000,2022-08-25 14:44:59.999,21146132.37224670,42695,512.51404000,11040753.63602050,0
1459,2022-08-25 14:45:00,21532.19000000,21545.84000000,21515.43000000,21540.79000000,930.97146000,2022-08-25 14:59:59.999,20046094.10647760,44087,470.57807000,10132884.25964900,0
1460,2022-08-25 15:00:00,21540.08000000,21562.81000000,21529.95000000,21548.72000000,1020.43230000,2022-08-25 15:14:59.999,21985924.47038340,46935,490.05891000,10558746.69585560,0
1461,2022-08-25 15:15:00,21548.32000000,21559.95000000,21523.42000000,21532.25000000,852.28064000,2022-08-25 15:29:59.999,18360062.39778020,40817,424.86624000,9152907.74522000,0
1462,2022-08-25 15:30:00,21532.25000000,21536.00000000,21492.13000000,21534.85000000,944.87506000,2022-08-25 15:44:59.999,20326836.72349810,44811,472.77521000,10171332.91626170,0
1463,2022-08-25 15:45:00,21533.79000000,21591.60000000,21530.00000000,21559.17000000,1362.60024000,2022-08-25 15:59:59.999,29385923.73748480,54155,691.51793000,14913508.02588480,0
1464,2022-08-25 16:00:00,21559.17000000,21598.43000000,21550.00000000,21596.94000000,1187.48975000,2022-08-25 16:14:59.999,25615807.70011560,52058,589.61228000,12719158.56938110,0
1465,2022-08-25 16:15:00,21597.99000000,21748.69000000,21591.00000000,21646.79000000,4865.60003000,2022-08-25 16:29:59.999,105495705.01110460,129636,2420.25275000,52471237.40712570,0
1466,2022-08-25 16:30:00,21647.32000000,21722.00000000,21645.00000000,21711.22000000,3003.13807000,2022-08-25 16:44:59.999,65117816.60714960,101220,1561.54319000,33860852.99684240,0
1467,2022-08-25 16:45:00,21710.28000000,21734.07000000,21673.00000000,21692.19000000,2350.34410000,2022-08-25 16:59:59.999,50996040.82165620,83611,1169.79780000,25382194.46842420,0
1468,2022-08-25 17:00:00,21692.19000000,21759.99000000,21672.19000000,21735.76000000,2560.44355000,2022-08-25 17:14:59.999,55610419.50004030,91888,1326.40560000,28809181.96705040,0
1469,2022-08-25 17:15:00,21737.16000000,21755.82000000,21695.00000000,21714.01000000,2254.16799000,2022-08-25 17:29:59.999,48964626.47082510,78486,1089.86316000,23674554.84401030,0
1470,2022-08-25 17:30:00,21714.01000000,21752.88000000,21684.17000000,21724.57000000,1825.77135000,2022-08-25 17:44:59.999,39640991.29952690,68970,909.02471000,19737192.30865570,0
1471,2022-08-25 17:45:00,21725.41000000,21762.00000000,21715.50000000,21743.29000000,1583.64589000,2022-08-25 17:59:59.999,34420497.54152030,59544,773.77020000,16818264.85890290,0
1472,2022-08-25 18:00:00,21744.22000000,21819.88000000,21737.96000000,21753.82000000,3518.04021000,2022-08-25 18:14:59.999,76631651.10732390,96558,1718.58393000,37433812.45112910,0
1473,2022-08-25 18:15:00,21753.82000000,21761.22000000,21700.58000000,21730.58000000,2485.40121000,2022-08-25 18:29:59.999,54017165.22407390,76116,1194.82420000,25967719.31436120,0
1474,2022-08-25 18:30:00,21729.19000000,21741.04000000,21700.00000000,21707.44000000,1979.18672000,2022-08-25 18:44:59.999,42989545.36334710,67581,961.45022000,20883511.15744280,0
1475,2022-08-25 18:45:00,21707.43000000,21723.83000000,21678.00000000,21686.64000000,1820.20461000,2022-08-25 18:59:59.999,39505627.67449660,63819,863.72327000,18746747.54711600,0
1476,2022-08-25 19:00:00,21687.35000000,21710.68000000,21659.73000000,21673.39000000,1917.69824000,2022-08-25 19:14:59.999,41590417.96908770,64505,919.79593000,19949447.97439650,0
1477,2022-08-25 19:15:00,21673.39000000,21693.00000000,21649.70000000,21653.50000000,1726.16095000,2022-08-25 19:29:59.999,37403750.35931320,61863,840.22379000,18206885.29007320,0
1478,2022-08-25 19:30:00,21654.97000000,21693.84000000,21632.71000000,21687.60000000,2100.14521000,2022-08-25 19:44:59.999,45484636.47051330,62622,1063.32983000,23029774.65674220,0
1479,2022-08-25 19:45:00,21687.60000000,21723.70000000,21661.26000000,21705.62000000,1823.67800000,2022-08-25 19:59:59.999,39566979.71366800,58218,937.85138000,20348326.75658650,0
1480,2022-08-25 20:00:00,21706.99000000,21717.09000000,21670.83000000,21711.24000000,1631.29383000,2022-08-25 20:14:59.999,35387485.88316180,53756,831.82992000,18045285.62695760,0
1481,2022-08-25 20:15:00,21711.24000000,21721.38000000,21685.00000000,21710.83000000,1177.18525000,2022-08-25 20:29:59.999,25548994.60482810,44425,596.37384000,12943830.72866330,0
1482,2022-08-25 20:30:00,21711.22000000,21716.46000000,21685.02000000,21703.72000000,1378.31102000,2022-08-25 20:44:59.999,29908282.98228480,50169,691.93000000,15014698.60491290,0
1483,2022-08-25 20:45:00,21705.08000000,21705.09000000,21611.22000000,21620.02000000,2172.20579000,2022-08-25 20:59:59.999,47032643.71844200,66250,996.29871000,21571376.91985740,0
